latitude;longitude;date
6.681111111;-71.21777778;43435
2.754166667;-76.62916667;43101
8.537777778;-74.03916667;43132
1.298611111;-78.57194444;43374
8.593333333;-73.22472222;43132
7.211666667;-76.645;43282
1.414444444;-78.66916667;43374
7.540138889;-75.45555556;43405
1.4275;-78.41138889;43221
7.524867234;-75.49994146;43405
6.799444444;-71.4;43313
7.556944444;-73.95444444;43435
8.666666667;-73.30444444;43282
1.270555556;-78.54638889;43405
2.574722222;-72.58611111;43101
4.735777778;-77.16102778;43132
1.321944444;-78.57027778;43282
6.6625;-70.95805556;43282
8.908055556;-72.8625;43313
8.388055556;-73.11694444;43405
3.885695697;-77.07416539;43101
8.08681225;-72.80576319;43435
2.582222222;-76.03972222;43221
6.586388889;-71.3525;43191
7.3875;-74.08472222;43252
6.800277778;-71.76444444;43435
6.853333333;-71.29611111;43101
7.212222222;-75.47805556;43405
8.401944444;-73.205;43252
1.300555556;-78.55416667;43374
7.41;-74.48805556;43313
6.948888889;-77.67122222;43405
1.328055556;-78.56833333;43435
6.789849044;-71.77345006;43313
8.386666667;-73.19333333;43252
1.338611111;-78.57277778;43282
8.404077714;-73.20816763;43313
3.625555556;-73.97666667;43405
8.649722222;-72.90861111;43252
6.595277778;-71.53416667;43160
1.395055556;-78.43066667;43313
1.382777778;-78.7425;43344
1.311388889;-78.55694444;43221
6.964166667;-71.10916667;43160
6.786666667;-71.34944444;43221
4.666944444;-76.64388889;43282
7.516111111;-75.485;43405
7.344166667;-74.08416667;43344
8.323146597;-73.14882272;43344
7.532222222;-73.93388889;43435
8.7325;-73.28277778;43405
8.317777778;-73.155;43435
4.665833333;-76.65083333;43405
2.237222222;-72.8775;43160
2.402222222;-76.84944444;43466
1.41425;-78.66961111;43282
7.502222222;-75.22638889;43374
8.683333333;-73.18805556;43191
2.592777778;-72.41611111;43252
1.329166667;-78.54916667;43282
1.27;-78.56694444;43282
6.699444444;-71.17083333;43252
1.324166667;-78.56638889;43252
2.471388889;-76.73694444;43101
7.4032;-77.05208611;43101
1.284722222;-78.53527778;43221
1.2875;-78.52916667;43313
6.792777778;-71.77527778;43282
8.404077714;-73.20816763;43252
7.586690781;-75.39799472;43252
2.579722222;-72.84944444;43282
2.373333333;-73.14333333;43344
8.638333333;-72.69888889;43221
8.839444444;-72.86333333;43160
1.280833333;-78.53611111;43221
3.623611111;-73.85694444;43435
4.934444444;-76.625;43282
1.349166667;-78.56527778;43282
1.269722222;-78.56305556;43313
8.553611111;-73.37166667;43282
7.578333333;-75.39638889;43160
4.790444444;-77.25472222;43101
2.179166667;-72.07416667;43374
1.328333333;-78.67833333;43221
1.30425;-78.62633333;43435
6.650555556;-71.48388889;43282
1.279722222;-78.53805556;43282
1.318055556;-78.56833333;43252
1.958000588;-72.64596051;43252
1.262777778;-78.54694444;43435
1.690833333;-78.4625;43374
7.326666667;-76.77361111;43221
1.812777778;-72.40555556;43313
8.433055556;-73.30861111;43435
6.558611111;-71.67944444;43101
1.025555556;-75.18583333;43405
6.5;-71.36916667;43344
8.589722222;-73.09111111;43101
5.088333333;-76.71472222;43282
7.095277778;-75.61166667;43313
6.79;-71.77388889;43313
1.320833333;-78.59083333;43466
1.260555556;-78.55694444;43313
1.326944444;-78.65777778;43282
1.38;-78.71861111;43344
6.842555556;-77.61591667;43344
1.265;-78.56083333;43252
6.961388889;-71.85166667;43191
2.684444444;-76.94666667;43344
8.628055556;-73.22277778;43160
1.263333333;-70.22861111;43435
6.658333333;-71.19611111;43405
1.303694444;-78.60933333;43221
7.586690781;-75.39799472;43160
8.610833333;-73.20055556;43160
8.413055556;-73.10194444;43435
1.283333333;-78.6;43221
4.305555556;-77.36166667;43191
1.266111111;-78.56055556;43313
2.251388889;-71.97305556;43160
1.273888889;-78.62388889;43313
6.127777778;-71.93472222;43344
8.971944444;-72.89;43160
6.673055556;-73.38027778;43282
7.177222222;-77.30555556;43374
